video_name,total_visits,total_duration_min,mean_duration_min,median_duration_min,mean_inter_visit_min,mean_motion,mean_brightness
084839-00050-M-0002,39,0.24,0.006153846153846154,0.0022222222222222222,0.004561403508771926,0.08637088407646266,98.91272168443281
094119-00050-M-0002,30,0.3227777777777778,0.010759259259259258,0.0016666666666666668,0.003735632183908041,0.08983095127605356,97.34025943732205
084741-00053-M-0002,29,0.18333333333333335,0.006321839080459771,0.0022222222222222222,0.008472222222222225,0.08841943791487218,99.51570972461602
083143-00051-M-0002,23,0.0811111111111111,0.0035265700483091784,0.0016666666666666668,0.0152020202020202,0.08827878677457808,97.99379114122594
20250429_1300-1400_130659-00049-M-0002,18,0.38555555555555554,0.021419753086419753,0.0022222222222222222,0.00235294117647059,0.08679860505437302,107.30527003584149
093627-00038-M-0002,12,0.33499999999999996,0.027916666666666663,0.0024999999999999996,0.0018686868686868684,0.09002741575613714,97.35927756811901
083239-00068-M-0002,2,0.0022222222222222222,0.0011111111111111111,0.0011111111111111111,0.19444444444444448,0.0916445,96.9775
094209-00040-M-0002,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.10460270833333334,98.32643333333334
