video_name,visit_id,arrival_frame,departure_frame,arrival_time_seconds,departure_time_seconds,stay_duration_frames,stay_duration_seconds,stay_duration_minutes,avg_motion_score,max_motion_score,avg_brightness,min_brightness,max_brightness,brightness_variation,light_condition,avg_activity_index,avg_edge_density,avg_color_variance,next_arrival,inter_visit_interval_seconds,inter_visit_interval_minutes
083143-00051-M-0002,1,77,106,2.566666666666667,3.533333333333333,30,1.0,0.016666666666666666,0.08737673333333332,0.135732,98.10533333333333,96.9,99.54,2.6400000000000006,DIM,0.18314676666666668,0.09577006666666667,49.037333333333336,3.6333333333333333,0.10000000000000009,0.001666666666666668
083143-00051-M-0002,2,109,111,3.6333333333333333,3.7,3,0.1,0.0016666666666666668,0.082138,0.08312,98.57000000000001,98.39,98.66,0.269999999999996,DIM,0.1793283333333333,0.09719033333333334,48.870000000000005,3.8333333333333335,0.1333333333333333,0.002222222222222222
083143-00051-M-0002,3,115,116,3.8333333333333335,3.8666666666666667,2,0.06666666666666667,0.0011111111111111111,0.080815,0.081229,97.58,97.47,97.69,0.21999999999999886,DIM,0.178268,0.097453,48.93000000000001,4.033333333333333,0.16666666666666652,0.0027777777777777753
083143-00051-M-0002,4,121,123,4.033333333333333,4.1,3,0.1,0.0016666666666666668,0.09722066666666666,0.123064,99.0,98.79,99.14,0.3499999999999943,DIM,0.20130133333333333,0.10408066666666667,49.903333333333336,4.833333333333333,0.7333333333333334,0.012222222222222223
083143-00051-M-0002,5,145,147,4.833333333333333,4.9,3,0.1,0.0016666666666666668,0.08322333333333333,0.085704,97.40666666666668,96.94,97.97,1.0300000000000011,DIM,0.18516466666666664,0.10194133333333333,49.10666666666666,5.0,0.09999999999999964,0.0016666666666666607
083143-00051-M-0002,6,150,151,5.0,5.033333333333333,2,0.06666666666666667,0.0011111111111111111,0.10657900000000001,0.124231,97.23,97.17,97.29,0.12000000000000455,DIM,0.2091555,0.10257649999999999,49.36,6.033333333333333,1.0,0.016666666666666666
083143-00051-M-0002,7,181,182,6.033333333333333,6.066666666666666,2,0.06666666666666667,0.0011111111111111111,0.1027775,0.123878,97.945,97.89,98.0,0.10999999999999943,DIM,0.209296,0.10651849999999999,50.06,6.733333333333333,0.666666666666667,0.011111111111111117
083143-00051-M-0002,8,202,204,6.733333333333333,6.8,3,0.1,0.0016666666666666668,0.082461,0.08418,98.31666666666666,97.94,98.63,0.6899999999999977,DIM,0.18630866666666668,0.10384766666666667,49.78666666666666,6.966666666666667,0.16666666666666696,0.0027777777777777827
083143-00051-M-0002,9,209,229,6.966666666666667,7.633333333333334,21,0.7,0.011666666666666665,0.08948128571428571,0.131696,98.4647619047619,98.09,99.23,1.1400000000000006,DIM,0.19070838095238096,0.10122723809523812,49.63904761904762,7.7,0.06666666666666643,0.0011111111111111072
083143-00051-M-0002,10,231,236,7.7,7.866666666666666,6,0.2,0.0033333333333333335,0.083329,0.086243,99.14333333333333,99.0,99.33,0.3299999999999983,DIM,0.18370499999999998,0.10037583333333333,49.71,9.1,1.2333333333333334,0.020555555555555556
083143-00051-M-0002,11,273,275,9.1,9.166666666666666,3,0.1,0.0016666666666666668,0.08419566666666667,0.086516,98.06666666666666,97.88,98.2,0.3200000000000074,DIM,0.19074899999999997,0.10655333333333333,49.97666666666667,9.233333333333333,0.06666666666666643,0.0011111111111111072
083143-00051-M-0002,12,277,278,9.233333333333333,9.266666666666667,2,0.06666666666666667,0.0011111111111111111,0.081647,0.083103,98.73,98.65,98.81,0.1599999999999966,DIM,0.18729449999999997,0.10564799999999999,50.195,10.0,0.7333333333333325,0.012222222222222209
083143-00051-M-0002,13,300,301,10.0,10.033333333333333,2,0.06666666666666667,0.0011111111111111111,0.1026745,0.124227,97.99000000000001,97.92,98.06,0.14000000000000057,DIM,0.210145,0.1074705,50.205,11.033333333333333,1.0,0.016666666666666666
083143-00051-M-0002,14,331,333,11.033333333333333,11.1,3,0.1,0.0016666666666666668,0.097143,0.123609,97.51333333333334,97.33,97.65,0.3200000000000074,DIM,0.20214200000000002,0.104999,50.10666666666666,12.666666666666666,1.5666666666666664,0.026111111111111106
