frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000483.jpg,0.115344,0.042222,0.157566,87.68,45.64,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000484.jpg,0.113846,0.040486,0.154332,87.66,45.54,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000485.jpg,0.112505,0.038845,0.15135,87.58,45.35,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000486.jpg,0.112578,0.039067,0.151646,87.53,45.37,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000487.jpg,0.112859,0.03586,0.148719,87.55,45.37,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000488.jpg,0.112938,0.038305,0.151243,87.53,45.36,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000489.jpg,0.112718,0.043217,0.155935,87.55,45.37,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000490.jpg,0.112969,0.042931,0.1559,87.3,45.12,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000491.jpg,0.112664,0.04251,0.155174,87.46,45.24,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000492.jpg,0.110917,0.041174,0.15209,87.31,44.93,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000493.jpg,0.111622,0.041029,0.15265,87.54,45.08,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000494.jpg,0.111084,0.043246,0.15433,87.49,44.97,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000495.jpg,0.10989,0.043997,0.153887,87.57,44.92,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000496.jpg,0.109621,0.042185,0.151806,87.41,44.8,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000497.jpg,0.108893,0.047578,0.156472,87.45,44.71,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000498.jpg,0.109313,0.047865,0.157178,87.45,44.7,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000499.jpg,0.109035,0.046401,0.155436,87.5,44.77,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000500.jpg,0.109279,0.042742,0.15202,87.54,44.87,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000501.jpg,0.109301,0.040319,0.14962,87.48,44.82,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000502.jpg,0.10942,0.045132,0.154552,87.47,44.85,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000503.jpg,0.109532,0.042452,0.151984,87.63,44.8,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000504.jpg,0.109426,0.040758,0.150184,87.63,44.9,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000505.jpg,0.109272,0.041072,0.150344,87.74,44.91,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000506.jpg,0.109884,0.040756,0.150639,87.63,44.93,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000507.jpg,0.1101,0.041044,0.151144,87.65,44.92,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000508.jpg,0.109921,0.038297,0.148218,87.64,44.95,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000509.jpg,0.110129,0.038928,0.149057,87.67,44.97,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000510.jpg,0.116081,0.109765,0.225847,87.63,45.92,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000511.jpg,0.11581,0.036544,0.152354,87.67,45.88,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000512.jpg,0.115961,0.037108,0.153069,87.53,45.77,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000513.jpg,0.115671,0.037248,0.152919,87.47,45.7,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000514.jpg,0.116077,0.037113,0.15319,87.48,45.72,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000515.jpg,0.115717,0.039057,0.154774,87.54,45.77,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000516.jpg,0.116121,0.035608,0.15173,87.59,45.8,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000517.jpg,0.116128,0.033789,0.149917,87.58,45.78,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000518.jpg,0.116647,0.034473,0.15112,87.5,45.79,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000519.jpg,0.116629,0.034568,0.151197,87.53,45.77,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000520.jpg,0.116605,0.030682,0.147287,87.52,45.8,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000521.jpg,0.116785,0.033135,0.14992,87.55,45.86,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000522.jpg,0.116982,0.029883,0.146865,87.49,45.93,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000523.jpg,0.116914,0.028787,0.1457,87.53,45.94,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000524.jpg,0.11795,0.028647,0.146598,87.51,45.99,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000525.jpg,0.117552,0.033907,0.151459,87.6,46.01,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000526.jpg,0.117526,0.031195,0.148721,87.54,45.99,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000527.jpg,0.117512,0.030692,0.148205,87.55,46.02,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000528.jpg,0.119126,0.043614,0.16274,87.48,46.21,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000529.jpg,0.119487,0.025576,0.145063,87.49,46.23,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000530.jpg,0.119637,0.02785,0.147487,87.52,46.29,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000531.jpg,0.119768,0.027638,0.147407,87.51,46.29,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000532.jpg,0.119918,0.039782,0.1597,87.48,46.34,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000533.jpg,0.120313,0.025641,0.145953,87.48,46.35,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000534.jpg,0.120602,0.029605,0.150207,87.47,46.36,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000535.jpg,0.120956,0.02834,0.149297,87.37,46.44,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000536.jpg,0.12122,0.038139,0.159358,87.29,46.53,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000537.jpg,0.121377,0.025786,0.147163,87.31,46.56,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000538.jpg,0.121135,0.034876,0.15601,87.31,46.54,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000539.jpg,0.120376,0.030397,0.150773,87.34,46.49,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000540.jpg,0.121958,0.087568,0.209526,87.14,46.68,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000541.jpg,0.122319,0.022372,0.144691,87.2,46.71,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000542.jpg,0.122343,0.026481,0.148824,87.18,46.78,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000543.jpg,0.122629,0.027637,0.150266,87.27,46.83,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000544.jpg,0.122897,0.029618,0.152516,87.26,46.9,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000545.jpg,0.123261,0.023372,0.146633,87.3,46.96,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000546.jpg,0.12383,0.032056,0.155887,87.34,46.99,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000547.jpg,0.124413,0.032865,0.157278,87.36,47.03,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000548.jpg,0.124891,0.021669,0.14656,87.39,47.13,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000549.jpg,0.125359,0.03067,0.156028,87.44,47.21,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000550.jpg,0.125728,0.032863,0.15859,87.46,47.22,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000551.jpg,0.125173,0.024358,0.149531,87.48,47.24,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000552.jpg,0.125493,0.031692,0.157185,87.49,47.3,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000553.jpg,0.12565,0.031699,0.157349,87.49,47.35,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000554.jpg,0.126291,0.028724,0.155015,87.51,47.36,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000555.jpg,0.126263,0.031037,0.157299,87.51,47.38,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000556.jpg,0.126776,0.029449,0.156226,87.49,47.44,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000557.jpg,0.126659,0.027397,0.154056,87.49,47.5,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000558.jpg,0.126998,0.02818,0.155178,87.49,47.51,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000559.jpg,0.127122,0.028921,0.156043,87.5,47.54,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000560.jpg,0.126878,0.027826,0.154704,87.5,47.53,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000561.jpg,0.126986,0.029117,0.156103,87.52,47.54,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000562.jpg,0.127053,0.028832,0.155885,87.54,47.57,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000563.jpg,0.127274,0.027856,0.15513,87.56,47.61,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000564.jpg,0.127212,0.030847,0.158059,87.58,47.66,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000565.jpg,0.127756,0.02995,0.157706,87.61,47.69,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000566.jpg,0.127514,0.029032,0.156546,87.58,47.71,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000567.jpg,0.127291,0.027328,0.154619,87.57,47.7,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000568.jpg,0.127643,0.026615,0.154258,87.57,47.74,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000569.jpg,0.1271,0.033242,0.160341,87.63,47.68,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000570.jpg,0.126127,0.071335,0.197463,87.48,47.45,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000571.jpg,0.126499,0.023102,0.1496,87.56,47.47,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000572.jpg,0.126898,0.02513,0.152029,87.47,47.54,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000573.jpg,0.127499,0.027394,0.154893,87.5,47.58,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000574.jpg,0.127233,0.026802,0.154036,87.52,47.63,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000575.jpg,0.12744,0.029479,0.156919,87.54,47.66,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000576.jpg,0.127734,0.028155,0.155888,87.54,47.66,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000577.jpg,0.127765,0.028036,0.155801,87.56,47.67,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000578.jpg,0.127987,0.025512,0.153499,87.56,47.67,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000579.jpg,0.127528,0.027574,0.155102,87.56,47.66,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000580.jpg,0.127647,0.027128,0.154775,87.58,47.67,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000581.jpg,0.127938,0.027943,0.155882,87.58,47.68,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000582.jpg,0.128059,0.02763,0.155689,87.6,47.71,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
