video_name,visit_id,arrival_frame,departure_frame,arrival_time_seconds,departure_time_seconds,stay_duration_seconds,stay_duration_minutes,avg_motion_score,max_motion_score,avg_brightness,min_brightness,max_brightness,brightness_variation,light_condition,avg_activity_index
083143-00051-M-0002,1,77,106,2.566666666666667,3.533333333333333,1.0,0.016666666666666666,0.08737673333333332,0.135732,98.10533333333333,96.9,99.54,2.6400000000000006,DIM,0.18314676666666668
083143-00051-M-0002,2,109,111,3.6333333333333333,3.7,0.1,0.0016666666666666668,0.082138,0.08312,98.57000000000001,98.39,98.66,0.269999999999996,DIM,0.1793283333333333
083143-00051-M-0002,3,115,116,3.8333333333333335,3.8666666666666667,0.06666666666666667,0.0011111111111111111,0.080815,0.081229,97.58,97.47,97.69,0.21999999999999886,DIM,0.178268
083143-00051-M-0002,4,121,123,4.033333333333333,4.1,0.1,0.0016666666666666668,0.09722066666666666,0.123064,99.0,98.79,99.14,0.3499999999999943,DIM,0.20130133333333333
083143-00051-M-0002,5,145,147,4.833333333333333,4.9,0.1,0.0016666666666666668,0.08322333333333333,0.085704,97.40666666666668,96.94,97.97,1.0300000000000011,DIM,0.18516466666666664
083143-00051-M-0002,6,150,151,5.0,5.033333333333333,0.06666666666666667,0.0011111111111111111,0.10657900000000001,0.124231,97.23,97.17,97.29,0.12000000000000455,DIM,0.2091555
083143-00051-M-0002,7,181,182,6.033333333333333,6.066666666666666,0.06666666666666667,0.0011111111111111111,0.1027775,0.123878,97.945,97.89,98.0,0.10999999999999943,DIM,0.209296
083143-00051-M-0002,8,202,204,6.733333333333333,6.8,0.1,0.0016666666666666668,0.082461,0.08418,98.31666666666666,97.94,98.63,0.6899999999999977,DIM,0.18630866666666668
083143-00051-M-0002,9,209,229,6.966666666666667,7.633333333333334,0.7,0.011666666666666665,0.08948128571428571,0.131696,98.4647619047619,98.09,99.23,1.1400000000000006,DIM,0.19070838095238096
083143-00051-M-0002,10,231,236,7.7,7.866666666666666,0.2,0.0033333333333333335,0.083329,0.086243,99.14333333333333,99.0,99.33,0.3299999999999983,DIM,0.18370499999999998
083143-00051-M-0002,11,273,275,9.1,9.166666666666666,0.1,0.0016666666666666668,0.08419566666666667,0.086516,98.06666666666666,97.88,98.2,0.3200000000000074,DIM,0.19074899999999997
083143-00051-M-0002,12,277,278,9.233333333333333,9.266666666666667,0.06666666666666667,0.0011111111111111111,0.081647,0.083103,98.73,98.65,98.81,0.1599999999999966,DIM,0.18729449999999997
083143-00051-M-0002,13,300,301,10.0,10.033333333333333,0.06666666666666667,0.0011111111111111111,0.1026745,0.124227,97.99000000000001,97.92,98.06,0.14000000000000057,DIM,0.210145
083143-00051-M-0002,14,331,333,11.033333333333333,11.1,0.1,0.0016666666666666668,0.097143,0.123609,97.51333333333334,97.33,97.65,0.3200000000000074,DIM,0.20214200000000002
083143-00051-M-0002,15,380,381,12.666666666666666,12.7,0.06666666666666667,0.0011111111111111111,0.08023050000000001,0.080391,97.795,97.61,97.98,0.37000000000000455,DIM,0.1851295
083143-00051-M-0002,16,551,552,18.366666666666667,18.4,0.06666666666666667,0.0011111111111111111,0.086095,0.087284,97.985,97.85,98.12,0.27000000000001023,DIM,0.1917025
083143-00051-M-0002,17,561,562,18.7,18.733333333333334,0.06666666666666667,0.0011111111111111111,0.08232300000000001,0.082759,97.16499999999999,96.98,97.35,0.36999999999999034,DIM,0.1880075
083143-00051-M-0002,18,568,572,18.933333333333334,19.066666666666666,0.16666666666666666,0.0027777777777777775,0.09037799999999999,0.126372,97.394,97.18,97.73,0.5499999999999972,DIM,0.1948548
083143-00051-M-0002,19,700,701,23.333333333333332,23.366666666666667,0.06666666666666667,0.0011111111111111111,0.082261,0.082714,97.255,97.17,97.34,0.1700000000000017,DIM,0.1898035
083143-00051-M-0002,20,749,770,24.966666666666665,25.666666666666668,0.7333333333333333,0.012222222222222221,0.08883245454545453,0.133229,98.11954545454546,97.33,98.54,1.210000000000008,DIM,0.19239099999999995
083143-00051-M-0002,21,774,778,25.8,25.933333333333334,0.16666666666666666,0.0027777777777777775,0.0832214,0.086332,98.52799999999999,98.35,98.63,0.28000000000000114,DIM,0.1849934
083143-00051-M-0002,22,781,792,26.033333333333335,26.4,0.4,0.006666666666666667,0.09034350000000001,0.130128,98.40166666666669,97.52,98.8,1.2800000000000011,DIM,0.1942000833333333
083143-00051-M-0002,23,794,802,26.466666666666665,26.733333333333334,0.3,0.005,0.08566555555555556,0.088688,97.15222222222224,96.94,97.31,0.37000000000000455,DIM,0.18792699999999998
083239-00068-M-0002,1,609,610,20.3,20.333333333333332,0.06666666666666667,0.0011111111111111111,0.0826685,0.083546,96.67500000000001,96.59,96.76,0.1700000000000017,DIM,0.185339
083239-00068-M-0002,2,960,961,32.0,32.03333333333333,0.06666666666666667,0.0011111111111111111,0.1006205,0.120848,97.28,97.19,97.37,0.18000000000000682,DIM,0.209182
084741-00053-M-0002,1,84,85,2.8,2.8333333333333335,0.06666666666666667,0.0011111111111111111,0.082057,0.083082,99.27000000000001,99.25,99.29,0.04000000000000625,DIM,0.18773299999999998
084741-00053-M-0002,2,89,93,2.966666666666667,3.1,0.16666666666666666,0.0027777777777777775,0.0922432,0.131694,99.68400000000001,99.15,100.09,0.9399999999999977,DIM,0.1972856
084741-00053-M-0002,3,117,118,3.9,3.933333333333333,0.06666666666666667,0.0011111111111111111,0.0867445,0.093193,100.185,100.14,100.23,0.09000000000000341,DIM,0.18958799999999998
084741-00053-M-0002,4,127,130,4.233333333333333,4.333333333333333,0.13333333333333333,0.0022222222222222222,0.08274225,0.084603,100.245,99.8,100.59,0.7900000000000063,DIM,0.185663
084741-00053-M-0002,5,147,159,4.9,5.3,0.43333333333333335,0.007222222222222223,0.08884961538461537,0.13414,98.33461538461538,97.65,98.71,1.059999999999988,DIM,0.1913300769230769
084741-00053-M-0002,6,164,166,5.466666666666667,5.533333333333333,0.1,0.0016666666666666668,0.080422,0.08075,98.35666666666667,98.15,98.55,0.3999999999999915,DIM,0.18438366666666664
084741-00053-M-0002,7,185,187,6.166666666666667,6.233333333333333,0.1,0.0016666666666666668,0.082399,0.085629,99.79333333333334,99.69,99.91,0.21999999999999886,DIM,0.18865033333333334
084741-00053-M-0002,8,216,218,7.2,7.266666666666667,0.1,0.0016666666666666668,0.083081,0.084946,99.88,99.76,99.96,0.19999999999998863,DIM,0.18803566666666668
084741-00053-M-0002,9,222,229,7.4,7.633333333333334,0.26666666666666666,0.0044444444444444444,0.08585775,0.094837,99.67875000000001,99.26,100.05,0.789999999999992,DIM,0.189381625
084741-00053-M-0002,10,233,263,7.766666666666667,8.766666666666667,1.0333333333333334,0.017222222222222226,0.0901561935483871,0.137351,99.84903225806453,99.2,100.33,1.1299999999999955,DIM,0.1910218709677419
084741-00053-M-0002,11,265,271,8.833333333333334,9.033333333333333,0.23333333333333334,0.0038888888888888888,0.09557057142857142,0.142447,99.27,98.42,99.75,1.3299999999999983,DIM,0.1939462857142857
084741-00053-M-0002,12,273,285,9.1,9.5,0.43333333333333335,0.007222222222222223,0.08506292307692309,0.093515,99.1230769230769,97.99,99.6,1.6099999999999994,DIM,0.18427661538461537
084741-00053-M-0002,13,287,288,9.566666666666666,9.6,0.06666666666666667,0.0011111111111111111,0.0818425,0.081887,99.68,99.65,99.71,0.05999999999998806,DIM,0.1821565
